exerciseCode,exerciseName,imageRole,sourcePage,sourceImage,author,license,licenseUrl,attributionRequired,localAssetPath,verificationStatus,notes
MOB-012,Wall slide parziale,START,https://www.leicspart.nhs.uk/wp-content/uploads/2026/04/LPT-CHSMSK16-Rotator-Cuff-Related-Shoulder-Pain.pdf,https://www.leicspart.nhs.uk/wp-content/uploads/2026/04/LPT-CHSMSK16-Rotator-Cuff-Related-Shoulder-Pain.pdf#page=10,Leicester Partnership NHS Trust,UNKNOWN,,UNKNOWN,,LICENSE_UNCLEAR,"Foto didattiche con parete e posizione iniziale; licenza immagini non indicata nel PDF."
MOB-012,Wall slide parziale,END,https://www.leicspart.nhs.uk/wp-content/uploads/2026/04/LPT-CHSMSK16-Rotator-Cuff-Related-Shoulder-Pain.pdf,https://www.leicspart.nhs.uk/wp-content/uploads/2026/04/LPT-CHSMSK16-Rotator-Cuff-Related-Shoulder-Pain.pdf#page=10,Leicester Partnership NHS Trust,UNKNOWN,,UNKNOWN,,LICENSE_UNCLEAR,"Foto didattiche con braccia sollevate; verificare che il contatto richiesto da Forge resti visibile."
LEG-001,Sit-to-stand assistito con mani,START,https://www.southtees.nhs.uk/resources/sit-to-stand-from-chair-combined/,https://www.southtees.nhs.uk/wp-content/uploads/2022/03/FigA-sittostand-chair.jpg,South Tees Hospitals NHS Foundation Trust,UNKNOWN,,UNKNOWN,,LICENSE_UNCLEAR,"Corrispondenza alta; licenza di redistribuzione non esposta nella pagina."
LEG-001,Sit-to-stand assistito con mani,END,https://www.southtees.nhs.uk/resources/sit-to-stand-from-chair-combined/,https://www.southtees.nhs.uk/wp-content/uploads/2022/03/FigC-sittostand-chair.jpg,South Tees Hospitals NHS Foundation Trust,UNKNOWN,,UNKNOWN,,LICENSE_UNCLEAR,"Corrispondenza alta; la fase finale ̬ in stazione eretta accanto alla sedia."
LEG-007,Goblet squat con manubrio leggero,START,https://commons.wikimedia.org/wiki/File:Kettlebell_Goblet_Squat.webm,https://commons.wikimedia.org/wiki/Special:FilePath/Kettlebell_Goblet_Squat.webm,Taco fleur,CC_BY_SA_4.0,https://creativecommons.org/licenses/by-sa/4.0/,true,,SEMANTIC_MISMATCH,"Video e kettlebell; Forge richiede fotografia e singolo manubrio. Usare solo come riferimento tecnico."
PUSH-001,Wall push-up alto,START,https://medlineplus.gov/ency/imagepages/19916.htm,https://medlineplus.gov/ency/images/ency/fullsize/23370.jpg,A.D.A.M. / MedlinePlus,UNKNOWN,,UNKNOWN,,LICENSE_UNCLEAR,"Pagina clinica pertinente; nessuna licenza di redistribuzione APK verificata."
PUSH-001,Wall push-up alto,START,https://www.dvidshub.net/image/785090/full-body-workout-with-low-impact,https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/1211/785090/1000w_q95.jpg,Sgt Tabitha Bartley,PUBLIC_DOMAIN,https://www.dvidshub.net/about/copyright,requested,,SEMANTIC_MISMATCH,"Foto reale e licenza dichiarata, ma esercizio in piscina con flippers/resistenza d'acqua."
PUSH-001,Wall push-up alto,END,https://commons.wikimedia.org/wiki/File:Wallpushup-CDC_strength_training_for_older_adults.gif,https://commons.wikimedia.org/wiki/Special:FilePath/Wallpushup-CDC_strength_training_for_older_adults.gif,Centers for Disease Control and Prevention,PUBLIC_DOMAIN,,recommended,,REJECTED,"Variante semantica corretta ma GIF/animazione, non fotografia reale."
BACK-002,Rematore elastico seduto,START,https://covidmove.umb.sk/wp-content/uploads/2025/01/PR3_Recommendations_SK_eng_compressed.pdf,https://covidmove.umb.sk/wp-content/uploads/2025/01/PR3_Recommendations_SK_eng_compressed.pdf#page=72,COVID Move / UMB,UNKNOWN,,UNKNOWN,,LICENSE_UNCLEAR,"Il PDF mostra una sequenza fotografica start/end coerente; licenza immagini non indicata."
BACK-002,Rematore elastico seduto,END,https://covidmove.umb.sk/wp-content/uploads/2025/01/PR3_Recommendations_SK_eng_compressed.pdf,https://covidmove.umb.sk/wp-content/uploads/2025/01/PR3_Recommendations_SK_eng_compressed.pdf#page=72,COVID Move / UMB,UNKNOWN,,UNKNOWN,,LICENSE_UNCLEAR,"La tirata verso il petto e l'elastico ai piedi risultano coerenti dal testo; estrazione immagine/licenza da verificare."
